request_id,session_id,agent_id,tier,backend_id,ttft_ms,e2e_ms,input_tokens,output_tokens,affinity_hit,status_code,timestamp_iso,profile
r0,s0,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r1,s1,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r2,s2,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r3,s3,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r4,s4,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r5,s5,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r6,s6,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r7,s7,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r8,s8,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r9,s9,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r10,s10,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r11,s11,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r12,s12,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r13,s13,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r14,s14,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r15,s15,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r16,s16,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r17,s17,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r18,s18,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r19,s19,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r20,s20,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r21,s21,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r22,s22,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r23,s23,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r24,s24,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r25,s25,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r26,s26,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r27,s27,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r28,s28,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r29,s29,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r30,s30,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r31,s31,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r32,s32,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r33,s33,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r34,s34,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r35,s35,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r36,s36,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r37,s37,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r38,s38,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r39,s39,a1,big,big-0,200,500,150,75,True,200,2024-01-01T00:00:00Z,mixed
r40,s40,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
r41,s41,a1,small,small-0,80,200,150,75,True,200,2024-01-01T00:00:00Z,mixed
